Symptoms,frequency,similarity
endokarditis,"[1, 0, 0, 2, 1, 0, 0, 0, 2, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
enophthalmus,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]",
enuresis,"[0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0]",
eosinophilie,"[0, 0, 0, 0, 2, 0, 0, 1, 3, 0, 0, 1, 0, 1, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
epileptischer anfall,"[2, 0, 1, 0, 3, 1, 0, 1, 2, 0, 0, 3, 0, 1, 0, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1]",
episkleritis,"[0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 1, 1, 0, 0, 0, 1, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0]",
epistaxis,"[1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0]",
nasen bluten,"[1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1]",
aufstossen,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 0, 0, 0]",
erythema nodosum,"[1, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 2, 1, 2, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1]",
palmarerythem,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0]",
erythromelalgie,"[1, 0, 0, 0, 3, 0, 1, 1, 1, 0, 0, 2, 1, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0]",
oesophagitis,"[1, 0, 0, 0, 1, 0, 1, 1, 2, 0, 0, 0, 0, 0, 2, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0]",
reflux-oesophagitis,"[1, 0, 0, 0, 2, 1, 1, 1, 2, 0, 0, 1, 0, 0, 2, 1, 0, 1, 2, 1, 1, 0, 0, 1, 0, 0, 0]",
exanthem,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",
exanthema subitum,"[2, 1, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 2, 2, 0, 0, 1, 0, 0, 1]",
exophthalmus,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0]",
ophthalmopathie nnb,"[2, 1, 0, 0, 1, 0, 0, 3, 1, 0, 0, 1, 1, 2, 2, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1]",
fatigue,"[1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",
abgeschlagenheit,"[2, 1, 1, 0, 3, 0, 2, 2, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
muedigkeit,"[0, 0, 0, 1, 2, 0, 1, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",
fettleber,"[0, 1, 0, 0, 3, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0]",
fetale wachstumsretardierung,"[3, 0, 1, 1, 4, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 3, 2, 3, 2, 0, 1, 0, 0, 0, 1]",
fever,"[0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",
fieber,"[0, 1, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
fibrose,"[0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
analfissur,"[2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0]",
flankenschmerz,"[1, 0, 1, 0, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]",
knickfuss,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0]",
flatulence,"[1, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",
flatulenz,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0]",
flatulenz,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0]",
mouches volantes,"[1, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 1]",
fluor,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",
flush,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",
gesichtsroe tung,"[0, 0, 1, 0, 2, 0, 2, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 2, 2, 1, 0, 0, 0, 0, 0, 1]",
hitzegefuehl,"[0, 0, 0, 0, 3, 1, 1, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0]",
folsaeuremangel,"[2, 0, 0, 0, 3, 1, 1, 0, 0, 0, 0, 2, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]",
lebensmittelvergiftung,"[0, 1, 0, 0, 4, 1, 2, 0, 2, 0, 0, 2, 1, 2, 0, 0, 0, 1, 1, 3, 1, 1, 0, 0, 0, 0, 0]",
pain foot,"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",
formication,"[1, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 1, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
kribbeln,"[0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
frakturen,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]",
frakturen,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]",
trichterbrust,"[0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 3, 1, 0, 0, 0, 0, 0, 0]",
gag,"[1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
gastritis,"[1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0]",
gastrointestinale blutungen,"[2, 1, 0, 0, 3, 0, 2, 0, 2, 0, 0, 2, 0, 4, 1, 0, 0, 1, 2, 4, 2, 0, 0, 0, 0, 0, 1]",
zahnfleischbluten,"[1, 1, 1, 0, 2, 1, 0, 2, 1, 0, 0, 2, 0, 2, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0]",
gingivitis,"[0, 0, 0, 0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]",
glomerulonephritis,"[0, 0, 0, 0, 2, 0, 1, 1, 2, 0, 0, 2, 1, 1, 2, 1, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0]",
zungenbrennen,"[0, 1, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]",
glukosurie,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0]",
struma,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",
gynaekomastie,"[2, 0, 0, 0, 2, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0]",
foetor ex ore,"[0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 2]",
mundgeruch,"[0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0]",
halluzinationen,"[2, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 2, 0, 3, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0]",
headache,"[2, 0, 1, 1, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
kopfschmerzen,"[0, 0, 1, 0, 2, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]",
schallleitungsschwerhoerigkeit,"[1, 0, 2, 0, 4, 0, 2, 3, 3, 0, 1, 3, 0, 1, 1, 0, 0, 2, 3, 2, 1, 0, 1, 0, 0, 0, 0]",
cardiomegaly,"[2, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
kardiomegalie,"[2, 0, 0, 1, 2, 0, 1, 0, 2, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
herzinsuffizienz,"[0, 0, 0, 0, 2, 2, 0, 1, 3, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 3, 0]",
herzgeraeusche,"[1, 0, 1, 0, 4, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 1, 0]",
heartburn,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]",
sodbrennen,"[0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
Heberden's node,"[0, 1, 0, 2, 4, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",
haemarthros,"[2, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
haematemesis,"[2, 0, 0, 0, 3, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0]",
hematochezia,"[2, 0, 1, 0, 2, 0, 0, 2, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",
haematom,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
hematuria,"[2, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",
haematurie,"[2, 0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",
hemiparese,"[1, 0, 0, 0, 3, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
hemiplegia,"[1, 0, 0, 0, 2, 0, 1, 1, 2, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
haemolyse,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",
haemoptysis,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0]",
haemoptoe,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
haemorrhage,"[2, 0, 0, 0, 2, 0, 1, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
blutung,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",
blutungsneigung,"[0, 1, 0, 0, 1, 0, 3, 0, 1, 0, 0, 1, 0, 3, 0, 0, 0, 0, 1, 1, 3, 0, 0, 0, 0, 0, 0]",
haemorrhagische diathese,"[3, 0, 1, 1, 4, 0, 1, 4, 2, 0, 0, 0, 1, 0, 1, 0, 0, 2, 2, 1, 0, 0, 0, 0, 0, 0, 1]",
haemosiderose,"[1, 0, 0, 1, 3, 0, 0, 1, 1, 0, 0, 0, 1, 0, 2, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]",
hepatitis,"[1, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0]",
hepatitis,"[1, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0]",
hepatomegaly,"[2, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",
hepatosplenomegaly,"[2, 0, 0, 0, 3, 0, 1, 1, 0, 0, 0, 2, 1, 1, 2, 2, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0]",
singultus,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0]",
hirsutism,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0]",
hirsutismus,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 3, 1, 2, 0, 0, 0, 0, 0, 0]",
hoarseness,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0]",
heiserkeit,"[0, 0, 0, 0, 3, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
hunger,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",
polyhydramnion,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 2, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0]",
hydrozephalus,"[1, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0]",
hydropneumothorax,"[1, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 1, 1, 3, 1, 0, 2, 0, 1, 1, 0, 0, 1, 1, 0, 0]",
hyperkalzaemie,"[2, 0, 0, 0, 3, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",
hypercapnia,"[2, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
hyperkapnie,"[1, 0, 0, 0, 2, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
hypercholesterinaemie,"[1, 0, 1, 0, 5, 0, 0, 2, 2, 0, 0, 1, 1, 1, 1, 1, 0, 2, 1, 1, 0, 0, 0, 0, 1, 0, 0]",
hyperaemie,"[1, 0, 0, 0, 3, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
hyperhidrosis disorder,"[0, 0, 0, 3, 2, 0, 0, 2, 3, 0, 0, 0, 0, 0, 2, 1, 0, 4, 3, 0, 0, 0, 0, 0, 1, 0, 1]",
hyperkalemia,"[2, 0, 0, 0, 2, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
hyperkaliaemie,"[2, 0, 0, 0, 3, 0, 0, 1, 2, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
hyperlipidaemie,"[1, 0, 0, 1, 3, 0, 0, 1, 3, 0, 0, 1, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
hyperlipoproteinaemie,"[1, 0, 0, 0, 4, 0, 0, 1, 3, 0, 0, 1, 1, 1, 2, 3, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0]",
hypernatriaemie,"[2, 0, 0, 0, 3, 0, 0, 1, 2, 0, 0, 0, 1, 1, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0]",
hypersplenismus,"[0, 0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 2, 0, 1, 3, 0, 1, 0, 0, 0, 1, 0, 0]",
hypertonie,"[0, 0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",
pulmonale hypertonie,"[1, 0, 0, 0, 3, 0, 0, 1, 1, 0, 0, 2, 1, 2, 2, 2, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1]",
hypertrichose,"[0, 0, 1, 0, 2, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 1, 0, 0, 0, 0, 1, 0, 0]",
triglyzeride hoch,"[0, 0, 1, 1, 2, 0, 1, 2, 2, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 1]",
hyperventilation,"[1, 0, 0, 0, 2, 0, 0, 1, 2, 0, 0, 1, 0, 2, 1, 1, 0, 1, 0, 2, 0, 1, 0, 0, 1, 0, 0]",
hypesthesia,"[1, 0, 0, 0, 2, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0]",
hypocalcemia result,"[2, 0, 2, 0, 2, 0, 0, 1, 1, 0, 0, 2, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1]",
hypokalzaemie,"[2, 0, 0, 0, 2, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",
hypoglykaemie,"[1, 0, 0, 0, 2, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",
hypogonadismus,"[1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 2, 1, 0, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0]",
hypokalemia,"[2, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
hypokaliaemie,"[2, 0, 0, 0, 2, 0, 0, 1, 2, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
hyponatremia,"[2, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",
hyponatriaemie,"[2, 0, 0, 0, 2, 0, 0, 1, 2, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",
hypoproteinemia,"[1, 0, 0, 0, 2, 0, 0, 1, 2, 0, 0, 0, 1, 1, 2, 2, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",
hypotension,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 2, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0]",
hypotonie,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",
hypothermia,"[1, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",
hypotrichose,"[0, 0, 1, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 2, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0]",
immunglobuline,"[0, 1, 0, 0, 1, 0, 1, 0, 2, 0, 0, 2, 2, 2, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",
inkontinenz,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",
infertilitaet,"[1, 0, 0, 0, 2, 1, 0, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0]",
intestinale pseudoobstruktion,"[1, 1, 0, 1, 3, 0, 0, 0, 3, 0, 1, 1, 0, 3, 3, 1, 0, 1, 3, 4, 2, 0, 0, 0, 0, 0, 1]",
iridozyklitis,"[0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0]",
iritis,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
irritable mood,"[1, 1, 0, 1, 1, 0, 0, 0, 2, 0, 0, 1, 1, 0, 2, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1]",
symptom von gereiztheit,"[0, 0, 0, 0, 3, 0, 1, 1, 2, 0, 0, 0, 2, 1, 2, 1, 0, 1, 1, 3, 0, 1, 0, 0, 1, 1, 2]",
ischaemie,"[1, 0, 1, 0, 2, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
ikterus,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",
cholestatischer ikterus,"[1, 0, 2, 0, 3, 0, 0, 2, 2, 0, 1, 1, 0, 0, 1, 0, 0, 2, 3, 3, 1, 0, 0, 0, 0, 0, 1]",
liebeswahn,"[1, 1, 0, 0, 2, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",
ekzema herpeticatum,"[2, 0, 1, 0, 4, 0, 0, 1, 1, 0, 1, 0, 2, 0, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0, 0, 1, 1]",
keratitis,"[1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0]",
nierenversagen,"[1, 0, 0, 0, 4, 0, 1, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0]",
kyphose,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",
rundruecken,"[0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0]",
larynxoedem,"[1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]",
laryngitis,"[1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0]",
linksschenkelblock,"[0, 1, 2, 0, 2, 0, 0, 1, 1, 0, 3, 3, 0, 2, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",
linksherzversagen,"[1, 0, 0, 0, 3, 0, 1, 1, 1, 0, 1, 1, 0, 2, 0, 0, 0, 2, 2, 0, 0, 1, 0, 0, 0, 1, 0]",
pain in lower limb,"[1, 1, 0, 0, 1, 0, 0, 0, 3, 0, 0, 2, 1, 2, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 3]",
lethargy,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",
lethargie,"[1, 0, 0, 0, 2, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
leukozytose,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0]",
